_address,_time,_date,_type,_body,_read,_service_center,Label
TX-GSKAZZ,"Mar 17, 2025 22:45:50",1.74225E+12,1,Your loan of Rs.2886 is pre-approved. Call +916000643883 today.,0,9.13938E+11,spam
TX-PSNZBR,"Mar 07, 2024 09:23:40",1.7098E+12,1,Subscription renewed successfully for Rs.4828. Enjoy services.,0,9.15148E+11,other
TX-URIZYX,"Oct 25, 2024 21:05:03",1.72989E+12,1,Your OTP for transaction at Flipkart is 561600. Valid for 5 mins.,0,9.10513E+11,bank
TX-YJJIVF,"May 24, 2025 16:39:37",1.7481E+12,1,Limited time offer! Get 46% off on all items. Visit www.offer494.com,0,9.18701E+11,spam
BG-UNIONB-S,"Aug 18, 2025 13:02:13",1.7555E+12,1,"A/c *1739 Debited for Rs:20000.00 on 18-08-2025 13:00:45 by Mob Bk ref no 622459540535 Avl Bal Rs:20620.34.If not you, Call 1800222243 -Union Bank of India",0,9.17013E+11,bank
TX-IGJESB,"Jan 05, 2024 00:09:19",1.70441E+12,1,"Dear Customer, your FD of Rs.4843 matures on 26-09-2025.",0,9.10376E+11,bank
AA-AIRTEL-P,"Jul 11, 2025 17:31:22",1.75224E+12,1,Know your data usage instantly on Airtel Thanks App & stay in control! Click https://i.airtel.in/6_Data_Balance,1,9.19831E+11,spam
TX-OSATGE,"Sep 01, 2024 12:10:31",1.72519E+12,1,Your order #93358 has been shipped. Track here: www.offer811.com,0,9.14941E+11,other
TX-OUFJVH,"May 21, 2023 20:08:15",1.6847E+12,1,"Dear Customer, your FD of Rs.1096 matures on 04-10-2025.",0,9.10862E+11,bank
TX-HRRHQR,"Feb 12, 2024 10:00:51",1.70773E+12,1,Don’t forget to bring the notes for class.,0,9.17469E+11,personal
AA-650002,"Apr 22, 2025 10:50:12",1.7453E+12,1,"REMINDER: Airtel unlimited pack has expired on 6302XXX493 . Recharge now with Rs799 & get UL calls, 1.5GB data/day, 100 SMS/day & 23+ OTTs with Airtel Xstream Play?for 84 Days. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech",0,9.19831E+11,spam
TX-CIJDVJ,"Jan 01, 2023 12:42:52",1.67258E+12,1,A/c *8598 Credited with Rs.854 on 15-09-2025. Avl Bal: Rs.33119.,0,9.1601E+11,bank
TX-NGIRUA,"Oct 05, 2024 04:44:59",1.7281E+12,1,Limited time offer! Get 43% off on all items. Visit www.offer881.com,0,9.12102E+11,spam
TX-QKDVUU,"May 04, 2024 16:25:12",1.71484E+12,1,Your order #18946 has been shipped. Track here: www.offer328.com,0,9.18403E+11,other
TX-LBNLHK,"Jul 15, 2024 12:36:00",1.72105E+12,1,Win a smartphone! Register at www.offer180.com now,0,9.14613E+11,spam
TX-YLZMCC,"Nov 09, 2023 06:04:51",1.69951E+12,1,A/c *3526 has insufficient funds for transaction of Rs.3055.,0,9.1894E+11,bank
TX-ALTTQQ,"Jul 14, 2023 05:51:21",1.68931E+12,1,Congratulations! You have won a lottery of Rs.3350. Claim now at www.offer758.com,0,9.18149E+11,spam
TX-TBZISH,"Aug 16, 2024 11:06:05",1.72381E+12,1,Win a smartphone! Register at www.offer287.com now,0,9.19853E+11,spam
AA-AIRTEL-S,"Jul 27, 2025 08:46:17",1.75359E+12,1,"ALERT: Incoming service including OTPs will stop from tonight on your Airtel number. To continue services, please recharge NOW. https://u.airtel.in/FDP1",0,9.19845E+11,spam
JA-JioPay,"May 6, 2025 19:17:45",1.74654E+12,1,"DAILY DATA USAGE ALERT! 50% of daily data used as on 06-May-25 19:17 ! Jio Number : 9391787607  Daily Data quota as per plan : 1.50 GB  For data saving tips, watch this video : http://tiny.jio.com/Savingtips",0,9.19014E+11,spam
TX-UPIDZI,"Apr 02, 2025 17:26:13",1.74361E+12,1,Your OTP for transaction at Google Play is 257256. Valid for 5 mins.,0,9.12563E+11,bank
TX-AXXAQB,"Jul 24, 2025 06:20:13",1.75334E+12,1,Subscription renewed successfully for Rs.2251. Enjoy services.,0,9.18314E+11,other
JA-JIOINF-S,"Jul 2, 2025 09:40:07",1.75143E+12,1,Your plan for Jio number 9391787607 is expiring tomorrow. Recharge IMMEDIATELY to enjoy continued services.,1,9.19014E+11,spam
JX-ZOMATO-P,"May 10, 2025 18:16:01",1.74688E+12,1,"Hi, Delivery partners at Zomato earn up to Rs 30000/month, work anytime, get daily payouts, insurance & more. Join now: https://zoma.to/ZOMATO/dp/rider -ZOMATO",0,9.17019E+11,spam
AA-AIRTEL,"Jun 3, 2025 19:10:33",1.74896E+12,1,Data quota left 500 MB: Only 500MB of high speed data left on your Airtel number. Recharge with Data Packs starting Rs 11 to enjoy uninterrupted data services i.airtel.in/Get-Data,0,9.19845E+11,spam
TX-ZYLVVZ,"Aug 21, 2025 10:19:19",1.75577E+12,1,Can you call me back when you’re free?,0,9.11776E+11,personal
TX-TTBRFP,"Oct 07, 2023 10:22:51",1.69667E+12,1,Your order #55379 has been shipped. Track here: www.offer388.com,0,9.15963E+11,other
TX-ZLPEXA,"May 08, 2024 09:09:43",1.71516E+12,1,"Hey, are we still meeting at 7am tomorrow?",0,9.13273E+11,personal
TX-UAWASK,"Nov 06, 2024 06:15:39",1.73087E+12,1,Your loan of Rs.2801 is pre-approved. Call +916668035529 today.,0,9.18819E+11,spam
AA-650024-P,"May 26, 2025 13:36:41",1.74825E+12,1,Access movies and live TV on Airtel Xstream Play at no added cost. Watch now - open.airtelxstream.in/FREE_MOVIES,1,9.1984E+11,spam
TX-BINMOM,"Nov 05, 2024 02:50:04",1.73078E+12,1,Can you call me back when you’re free?,0,9.18064E+11,personal
JK-UNIONB-S,"May 31, 2025 10:50:34",1.74867E+12,1,A/c *1739 Credited for Rs:500.00 on 31-05-2025 10:50:18 by Mob Bk ref no 010910332396 Avl Bal Rs:737.07.Never Share OTP/PIN/CVV-Union Bank of India,1,9.17003E+11,bank
TX-EIJMHY,"Feb 05, 2025 14:30:15",1.73877E+12,1,Limited time offer! Get 33% off on all items. Visit www.offer979.com,0,9.14642E+11,spam
TX-FPHBYM,"Apr 23, 2025 18:33:59",1.74543E+12,1,Your OTP for transaction at Google Play is 588002. Valid for 5 mins.,0,9.11477E+11,bank
TX-HWCGSL,"May 22, 2023 04:03:04",1.68473E+12,1,Your courier with tracking ID TRK738452 will be delivered today.,0,9.12009E+11,other
TX-GTYQIM,"Sep 23, 2023 09:05:35",1.69546E+12,1,"Dear Customer, your FD of Rs.1849 matures on 15-09-2025.",0,9.1227E+11,bank
TX-HOTXQL,"Jun 11, 2024 10:49:05",1.7181E+12,1,Your OTP for transaction at Flipkart is 610775. Valid for 5 mins.,0,9.16907E+11,bank
TX-PYZDOG,"Jan 30, 2023 18:32:26",1.6751E+12,1,Happy Birthday! 🎉 Hope you have a wonderful day.,0,9.13253E+11,personal
TX-CQRAQL,"May 26, 2023 19:38:03",1.68513E+12,1,Free recharge of Rs.2133. Click www.offer705.com to claim instantly,0,9.12119E+11,spam
AX-NSESMS-S,"Jun 4, 2025 14:57:29",1.74903E+12,1,"Beware while dealing based on unsolicited tips through Whatsapp,telegram,SMS,calls,Youtube,etc,& take an informed decision. Visit https://bit.ly/3Qqx5Co -NSE",0,9.17012E+11,other
TX-FRVXBH,"Feb 25, 2025 07:56:43",1.74047E+12,1,Limited time offer! Get 46% off on all items. Visit www.offer384.com,0,9.13723E+11,spam
JM-UNIONB,"Apr 26, 2025 19:42:55",1.74568E+12,1,"A/c *1739 Debited for Rs:50.00 on 26-04-2025 19:42:43 by Mob Bk ref no 548263978330 Avl Bal Rs:828.87.If not you, Call 1800222243 -Union Bank of India",0,9.17021E+11,bank
TX-PYGBYT,"Mar 12, 2024 14:40:34",1.71025E+12,1,Limited time offer! Get 68% off on all items. Visit www.offer338.com,0,9.1038E+11,spam
JD-UNIONB-S,"Aug 17, 2025 13:24:46",1.75542E+12,1,"A/c *1739 Debited for Rs:650.00 on 17-08-2025 13:24:37 by Mob Bk ref no 522904488008 Avl Bal Rs:79150.34.If not you, Call 1800222243 -Union Bank of India",0,9.17011E+11,bank
TX-EGAIGN,"Aug 18, 2023 15:52:14",1.69237E+12,1,Your order #66145 has been shipped. Track here: www.offer957.com,0,9.14423E+11,other
JX-620016-P,"Jun 20, 2025 16:15:20",1.75042E+12,1,"Recharge now Jio no 9391787607 with Rs.899 plan with Jio Unlimited Offer of Free JioHotstar Mobile/TV subscription for 90 Days to enjoy Live Cricket. Plan 899 benefits: Unlimited 5G data + 2 GB/day & 20 GB extra 4G data, Unlimited Voice for 90 Days. Use Google Pay app & stay connected. T&CA. https://gpay.app.goo.gl/8XWn2u",1,9.17019E+11,spam
JM-620016-P,"Jun 25, 2025 16:21:33",1.75085E+12,1,Get an instant 2 GB data boost for 48 hours at Rs 29 . Recharge now: www.jio.com/r/BjTKgoNR2,0,9.17021E+11,spam
TX-JMMHBT,"Jun 15, 2023 10:36:10",1.68683E+12,1,Win a smartphone! Register at www.offer384.com now,0,9.17815E+11,spam
TX-YVVQCS,"Jul 22, 2025 20:15:24",1.75322E+12,1,"Dear Customer, your FD of Rs.991 matures on 21-09-2025.",0,9.10112E+11,bank
TX-RGHNPT,"Jul 28, 2023 12:00:22",1.69055E+12,1,Congratulations! You have won a lottery of Rs.1607. Claim now at www.offer274.com,0,9.10919E+11,spam
TX-SAOPXR,"Jun 17, 2023 16:33:48",1.68702E+12,1,A/c *7034 Debited for Rs.2754 on 11-09-2025. Avl Bal: Rs.47109.,0,9.11099E+11,bank
TX-KSOMZQ,"Jun 13, 2024 12:01:37",1.71828E+12,1,Subscription renewed successfully for Rs.709. Enjoy services.,0,9.12906E+11,other
TX-UOPJAT,"Jun 16, 2023 19:50:40",1.68695E+12,1,Free recharge of Rs.4969. Click www.offer560.com to claim instantly,0,9.17207E+11,spam
TX-KEEHHN,"Jul 31, 2023 10:32:39",1.6908E+12,1,Your OTP for transaction at Flipkart is 463093. Valid for 5 mins.,0,9.10435E+11,bank
TX-PYQVDQ,"Aug 21, 2023 12:21:17",1.69262E+12,1,"Hey, are we still meeting at 12am tomorrow?",0,9.14952E+11,personal
